station_id,location,name,full_name,lat,lng,elevation,status
0281,hawaii,IPIF,Institute of Pacific Islands Forestry,19.69748,-155.0954,112,active
0282,hawaii,Spencer,Spencer,19.96358,-155.25014,469,active
0283,hawaii,Laupahoehoe,Laupāhoehoe,19.93217,-155.29129,1152,active
0286,hawaii,Palamanui,Pālamanui,19.73756,-155.99582,264,active
0287,hawaii,Mamalahoa,Māmalahoa,19.80258,-155.850629,603,active
0288,hawaii,Puuwaawaa,Puʻuwaʻawaʻa,19.725393,-155.873917,1654,active
0411,hawaii,Keopukaloa,Keōpukaloa,21.145283,-156.729459,187,active
0412,hawaii,Honoulimaloo,Honoulimaloʻo,21.131411,-156.758626,402,active
0413,hawaii,Ualapue,ʻUalapuʻe,21.066782,-156.830634,nan,planned
0414,hawaii,Pepeopae,Pēpēʻōpae ,21.1191,-156.90066,nan,planned
0421,hawaii,Kualapuu,Kualapuʻu,21.151872,-157.053235,259,active
0422,hawaii,Naiwa,Nāʻiwa,21.128209,-157.082404,68,active
0431,hawaii,Anapuka,Anapuka,21.215984,-157.241786,68,active
0501,hawaii,Lyon,Lyon Arboretum,21.333,-157.8025,151,active
0502,hawaii,Nuuanu Res 1,Nuʻuanu Reservoir Number 1,21.339124,-157.836859,117,active
0503,hawaii,Upper Waolani,Upper Waolani,21.34666,-157.83641,202,active
0504,hawaii,Waolani,Waolani,21.33756,-157.84092,98,active
0505,hawaii,Napuumaia,Nāpuʻumaiʻa,21.35489,-157.83063,508,active
0506,hawaii,Kalawahine,Kalāwahine,21.34522,-157.80556,506,active
0520,hawaii,Kaala Repeater,Kaʻala Repeater,nan,nan,nan,inactive
0521,hawaii,Kaala,Kaʻala,21.50675,-158.144861,1205,active
0522,hawaii,Palikea,Palikea,21.41584,-158.09930,897,planned
0531,hawaii,Kaluanui Ridge,Kaluanui Ridge,21.30491,-157.70302,239,active
0541,hawaii,Kaaawa Makai,Kaʻaʻawa Makai,21.540352,-157.845041,3,active
0542,hawaii,Poamoho LZ,Poamoho Connex Landing Zone,21.53106,-157.96613,542,planned
0543,hawaii,Poamoho Summit,Poamoho Summit,21.52732,-157.92056,788,planned
0544,hawaii,Waiawa,Waiawa,21.46897,-157.88992,645,planned
0551,hawaii,Kalahee Ridge,Kalaheʻe Ridge,21.63252,-158.04065,197,active
0601,hawaii,Waipa,Waipā,22.202647,-159.518833,5,active
0602,hawaii,Common Ground,Common Ground,22.197439,-159.42123,112,active
0603,hawaii,Lower Limahuli,Lower Limahuli,22.219805,-159.575195,31,active
0604,hawaii,Upper Limahuli,Upper Limahuli,22.18454,-159.582659,994,planned
0611,hawaii,Kealia,Keālia,22.128016,-159.336382,148,active
0621,hawaii,Lawai NTBG,Lāwaʻi National Tropical Botanical Garden,21.905295,-159.510395,106,active
0631,hawaii,Polihale,Polihale,22.07487,-159.76204,7,planned
0632,hawaii,Kitano Reservoir,Kitano Reservoir,22.01968,-159.67723,546,planned
0641,hawaii,Hanamaulu,Hanamāʻulu,22.018201,-159.437989,225,active
0642,hawaii,Powerline Trail,Powerline Trail,22.113562,-159.438786,651,planned
1311,american_samoa,Poloa,Poloa,-14.3196,-170.8308,143,nan
1312,american_samoa,Aasu,Aasu,-14.3098,-170.7715,358,nan
1313,american_samoa,Vaipito,Vaipito,-14.2829,-170.7105,92,nan
1316,american_samoa,Afono,Afono,-14.26738,-170.65058,84,nan
1319,american_samoa,Aunuu,Aunuu,-14.2852,-170.5535,34,nan
1410,american_samoa,Fagalii,Fagalii,-14.308687,-170.821643,68,nan
1411,american_samoa,Nuuuli,Nuuuli,-14.306,-170.7105,19,nan
1417,american_samoa,Afono,Afono,-14.26264,-170.6517,14,nan
1419,american_samoa,Tula,Tula,-14.253399,-170.570965,34,nan
